Problem number,Problem Name,Tag
1,Two Sum,arrays
7,Reverse Integer,arrays
9,Palindrome Number,arrays
14,Longest Common Prefix,arrays
20,Valid Parentheses,arrays
26,Remove Duplicates from Sorted Array,arrays
27,Remove Element,arrays
50,Pow(x; n),arrays
53,Maximum Subarray,arrays
66,Plus One,arrays
67,Add Binary,arrays
70,Climbing Stairs,arrays
94,Binary Tree Inorder Traversal,arrays
100,Same Tree,arrays
101,Symmetric Tree,arrays
104,Maximum Depth of Binary Tree,arrays
121,Best Time to Buy and Sell Stock,arrays
122,Best Time to Buy and Sell Stock II,arrays
125,Valid Palindrome,arrays
136,Single Number,arrays
151,Reverse Words in a String,arrays
167,Two Sum II Input array is sorted,arrays
169,Majority Element,arrays
171,Excel Sheet Column Number,arrays
172,Factorial Trailing Zeroes,arrays
190,Reverse Bits,arrays
191,Number of 1 Bits,arrays
231,Power of Two,arrays
242,Valid Anagram,arrays
258,Add Digits,arrays
268,Missing Number,arrays
283,Move Zeroes,arrays
290,Word Pattern,arrays
303,Range Sum Query Immutable,arrays
344,Reverse String,arrays
345,Reverse Vowels of a String,arrays
349,Intersection of Two Arrays,arrays
350,Intersection of Two Arrays II,arrays
852,Peak Index in a Mountain Array,arrays
922,Sort Array By Parity II,arrays
976,Largest Perimeter Triangle,arrays
1030,Matrix Cells in Distance Order,arrays
1309,Decrypt String from Alphabet to Integer Mapping,arrays
1310,XOR Queries of a Subarray,arrays
1312,Minimum Insertion Steps to Make a String Palindrome,arrays
1317,Convert Integer to the Sum of Two No Zero Integers,arrays
1318,Minimum Flips to Make a OR b Equal to c,arrays
1323,Maximum 69 Number,arrays
1324,Print Words Vertically,arrays
1325,Delete Leaves With a Given Value,arrays
1,Two Sum,maths
7,Reverse Integer,maths
9,Palindrome Number,maths
14,Longest Common Prefix,maths
20,Valid Parentheses,maths
26,Remove Duplicates from Sorted Array,maths
27,Remove Element,maths
50,Pow(x; n),maths
53,Maximum Subarray,maths
66,Plus One,maths
67,Add Binary,maths
70,Climbing Stairs,maths
94,Binary Tree Inorder Traversal,maths
100,Same Tree,maths
101,Symmetric Tree,maths
104,Maximum Depth of Binary Tree,maths
